description,class,type,legitibility,faction
"The card named Unleash Your Soul is a 3 cost spell , and includes the effects deal damage. The card text says: Deal 5 damage. Give a minion plus 3 dash plus 3.",Rogue,Spell,,
"The card named Combo Invasion is a 1 cost spell , and includes the effects discover. The card text says: Discover a Minion. Summon it.",Rogue,Spell,,
The card named Restore Chaos is a 3 cost intrigue spell . The card text says: Give a friendly minion 3 Attack before it dies. Discard one then.,Rogue,Spell,,
"The card named Glee is a 3 cost spell , and includes the effects discover. The card text says: Discover a Secret. If it's an Unholy minion, discover it.",Rogue,Spell,,
"The card named Refresh is a 2 cost spell , and includes the effects secret. The card text says: Secret: If you have No 1 or 1 Mana Crystals, summon a Copy of this.",Rogue,Spell,,
The card named Silence Doughnuts is a 2 cost spell . The card text says: Give your Hero Power plus 2 dash plus 2.,Rogue,Spell,,
The card named Unchained is a 1 cost spell . The card text says: Get a minion and its companions.,Rogue,Spell,,
The card named Reversal of the Soul is a 5 cost spell . The card text says: Add 3 copies of each minion you control to your hand.,Rogue,Spell,,
"The card named Twilight Spectacle is a 6 cost shadow spell , and includes the effects deal damage, restore health. The card text says: Deal 6 damage to a minion. If it's a Dragon, restore 6 Health to the minions that died this turn.",Rogue,Spell,,
"The card named Reverberation is a 2 cost frost spell , and includes the effects discover. The card text says: Discover a spell assigned to a minion that died this turn.",Rogue,Spell,,
The card named Wrong Object is a 3 cost spell . The card text says: Give a random minion plus 4 dash plus 4 and Taunt.,Rogue,Spell,,
"The card named Playing The Mist is a 2 cost spell , and includes the effects secret. The card text says: Secret: Summon three 1 dash 1 Poisonous Necromancers. (Upgraded daily.)",Rogue,Spell,,
"The card named Blackfin is a 1 cost spell , and includes the effects deal damage. The card text says: Deal 2 damage to a minion. If you control a Beast, deal 7 damage.",Rogue,Spell,,
The card named Spot on the Ceiling is a 4 cost spell . The card text says: Gain 3 Armor.,Rogue,Spell,,
"The card named Ruining The Witch is a 1 cost spell , and includes the effects deal damage, discover. The card text says: Deal 2 damage to a minion. Overload: (2)",Rogue,Spell,,
"The card named Relic of the Black Death is a 1 cost spell , and includes the effects deal damage. The card text says: Deal 3 damage to a minion. Relic: Deal 5 damage.",Rogue,Spell,,
The card named Rune's Eye is a 5 cost spell . The card text says: Draw a spell. Add a copy of it to your hand.,Rogue,Spell,,
"The card named Tight Knock is a 2 cost spell , and includes the effects discover. The card text says: Discover a Copy of an enemy minion after you have 5 or less.",Rogue,Spell,,
The card named Stackaboo is a 3 cost shadow spell . The card text says: Return a friendly minion to your hand.,Rogue,Spell,,
"The card named Enemy of the Wild is a 4 cost spell , and includes the effects deal damage. The card text says: Construct a friendly minion. If it's a Demon, deal 2 damage.",Rogue,Spell,,
The card named Oasis-Oasis is a 3 cost spell . The card text says: Draw 1 card. Costs (1) less for each card you've played this game.,Rogue,Spell,,
"The card named Aware of Fire is a 3 cost spell , and includes the effects deal damage. The card text says: Deal 4 damage to an enemy minion. If it survives, deal 1 more.",Rogue,Spell,,
The card named Enemy Armor is a 2 cost spell . The card text says: Summon a random 2 plus Cost minion. Suspicious.,Rogue,Spell,,
"The card named Relics of Desolation is a 3 cost spell , and includes the effects tradeable. The card text says: Tradeable Summon a copy of a friendly minion. Increase its Cost by (1).",Rogue,Spell,,
The card named Rearrangements is a 2 cost shadow spell . The card text says: Summon a random enemy minion.,Rogue,Spell,,
"The card named Oasis of Glory is a 2 cost spell , and includes the effects secret. The card text says: Secret: You control a minion through your opponent's deck.",Rogue,Spell,,
The card named Forbidden Spirit is a 2 cost shadow spell . The card text says: Summon two 1 dash 1 Minion with Rush. Reward: Each player discards a spell.,Rogue,Spell,,
The card named Oscillating Axe is a 2 cost spell . The card text says: Give a minion plus 1 Attack and Rush. Costs (1) less if you've played the same card last game.,Rogue,Spell,,
The card named Unexpected Devastation is a 6 cost spell . The card text says: Play a minion and then draw a card. Draw your first card.,Rogue,Spell,,
"The card named The Reborn is a 1 cost frost spell , and includes the effects discover. The card text says: Discover a 2 dash 2 Pirate with Taunt.",Rogue,Spell,,
The card named Deception is a 3 cost spell . The card text says: Resurrect your minion.,Rogue,Spell,,
"The card named Dwarven Dice is a 3 cost spell , and includes the effects deal damage. The card text says: Deal 2 damage. Deal 1 damage to five random characters.",Rogue,Spell,,
"The card named Isotope is a 1 cost spell . The card text says: Draw 2 cards. Whenever a minion dies, add 3 Rogues to your hand.",Rogue,Spell,,
"The card named Swarm is a 2 cost spell , and includes the effects deal damage. The card text says: Deal 3 damage to two random enemies.",Rogue,Spell,,
The card named Rogue's Inventor is a 1 cost spell . The card text says: Destroy a friendly minion. Give it plus 1 dash plus 2.,Rogue,Spell,,
"The card named Black Mirror is a 5 cost spell , and includes the effects discover. The card text says: Discover a spell. If your opponent plays it, discover a copy of it that costs (1) instead.",Rogue,Spell,,
"The card named Terror is a 3 cost spell , and includes the effects discover. The card text says: Discover a Hidden gem. Get a copy of it. *",Rogue,Spell,,
"The card named Abyssal Damage is a 1 cost spell , and includes the effects combo. The card text says: Combo: When a friendly Beast dies, swap it for an unknown one. Combo details: Remove a minion from your deck.",Rogue,Spell,,
The card named Desperate Housewives is a 2 cost spell . The card text says: Summon all 3 copies of a minion.,Rogue,Spell,,
"The card named Retweaks is a 4 cost shadow spell , and includes the effects deal damage. The card text says: Deal 5 damage. Summon another 1 plus Cost minion.",Rogue,Spell,,
The card named De-Clearance is a 3 cost spell . The card text says: Draw 1 card. Kill a minion. Gain Rush.,Rogue,Spell,,
The card named Conveyor Of The Clash is a 4 cost spell . The card text says: Destroy a friendly minion. Add a random one of these to your hand.,Rogue,Spell,,
"The card named Asdaw, Reconception is a 2 cost spell . The card text says: Draw cards from both sides. They deal 1 damage to all minions.",Rogue,Spell,,
"The card named Reborn is a 4 cost shadow spell , and includes the effects deal damage. The card text says: Deal 2 damage to all friendly minions but ignore them when they are attacked.",Rogue,Spell,,
The card named Enchanted Consolation is a 3 cost spell . The card text says: Discover a random Consolation from your deck. Set the Cost and Cost of your next card to 1 dash 1.,Rogue,Spell,,
"The card named Stalker, Frogboy is a 8 cost pirate minion with 5 health and 4 attack, and includes the effects trigger visual. The card text says: At the start of your turn, summon a random Pirate minion. Costs (1) less for each Pirate created.",Rogue,Minion,3,1
"The card named Skeleton Tramp is a 3 cost minion with 3 health and 2 attack, and includes the effects trigger visual. The card text says: Whenever a friendly minion takes damage while in your hand, get a copy of it.",Rogue,Minion,2,0
"The card named Smuggler is a 2 cost pirate minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If you've cast a spell this turn, summon a copy of this.",Rogue,Minion,3,1
"The card named Xa'an the Squeal is a 3 cost gorilla minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Give 3 random random Golems in your hand plus 2 dash plus 2.",Rogue,Minion,2,0
"The card named Billionaire Stackbreaker is a 2 cost undead minion with 1 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Your opponent's hero gains plus 1 Attack with Rush.",Rogue,Minion,2,0
"The card named Slaughterer of Death is a 4 cost pirate minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: If you've played a Dragon, draw a card.",Rogue,Minion,,
"The card named Scarlett Jest Hunter is a 8 cost pirate minion with 8 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Give a random friendly minion plus 4 dash plus 1.",Rogue,Minion,,
"The card named Frogkeeper is a 2 cost naga minion with 3 health and 2 attack, and includes the effects deathrattle, rush. The card text says: Rush Deathrattle: Get a random Pirate from your deck.",Rogue,Minion,,
"The card named Crankster is a 4 cost minion with 8 health and 4 attack, and includes the effects battlecry, stealth. The card text says: Stealth Battlecry: Summon two copies of a Shadow Slayer.",Rogue,Minion,,
"The card named Slavesonger is a 2 cost undead minion with 2 health and 2 attack, and includes the effects deal damage, battlecry. The card text says: Battlecry: Deal 2 damage.",Rogue,Minion,,
"The card named Draenor Swordwright is a 4 cost minion with 4 health and 3 attack, and includes the effects taunt, deathrattle. The card text says: Taunt Deathrattle: Give your Mana Crystals & Magic unlimited damage.",Rogue,Minion,,
"The card named Hoarder of War is a 4 cost minion with 4 health and 2 attack, and includes the effects hack, rush. The card text says: Rush. If this minion has more Attack, boost the Cost of copies of all 3 cards.",Rogue,Minion,,
"The card named Ghoulslayer is a 2 cost pirate minion with 3 health and 2 attack, and includes the effects trigger visual. The card text says: Whenever you control an enemy, summon a copy of it.",Rogue,Minion,,
"The card named Intrepid, the Slumming Spitfire is a 2 cost naga minion with 4 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Give your weapon plus 2 Attack (upgrades every time it hits your",Rogue,Minion,,
"The card named Mobster Slave is a 4 cost pirate minion with 4 health and 6 attack, and includes the effects battlecry. The card text says: Battlecry: Reduce the Attack Power of all other minions by (1).",Rogue,Minion,,
"The card named Hoarding Golem is a 7 cost beast minion with 6 health and 3 attack, and includes the effects deathrattle. The card text says: Deathrattle: Draw a card.",Rogue,Minion,,
"The card named Rogue Master is a 6 cost minion with 5 health and 6 attack, and includes the effects battlecry. The card text says: Battlecry: Choose A Secret and gain Spell Damage equal to its Cost.",Rogue,Minion,,
"The card named Icon-O-Boy is a 2 cost mech minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Draw a card. For each friendly Minion in your hand you'll gain",Rogue,Minion,,
"The card named Roogear is a 4 cost minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If you control a Wizard, give your hero plus 6 Attack.",Rogue,Minion,,
"The card named Vampire Hunter is a 4 cost pirate minion with 5 health and 5 attack, and includes the effects battlecry. The card text says: Battlecry: Destroy a weapon.",Rogue,Minion,,
"The card named Fel'tan's Gnome Swarmer is a 2 cost mech minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If you're holding a Dragon, gain plus 2 Attack.",Rogue,Minion,,
"The card named Blustertooth Sentinel is a 4 cost minion with 3 health and 5 attack, and includes the effects aura. The card text says: Your Mana Crystals will glow and steal from your opponent's deck.",Rogue,Minion,,
"The card named Gallow, the Terrorist is a 4 cost minion with 5 health and 4 attack, and includes the effects deathrattle. The card text says: Deathrattle: Give your hero plus 2 Attack.",Rogue,Minion,,
"The card named Leolath is a 4 cost minion with 4 health and 4 attack, and includes the effects trigger visual. The card text says: Whenever you play a Pokemon, summon a random random Unfriendly minion.",Rogue,Minion,,
"The card named Talosia the Sludge-Thirsty is a 5 cost undead minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Refresh All Heroes as soon as they lose Health.",Rogue,Minion,,
"The card named Spy Hunter is a 3 cost mech, beast minion with 3 health and 3 attack, and includes the effects deathrattle, rush. The card text says: Rush Deathrattle: Gain plus 1 Attack in your hand.",Rogue,Minion,,
"The card named Rogue in the Night is a 2 cost minion with 3 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: The next minion you play this turn gains plus 2 dash plus 2.",Rogue,Minion,,
"The card named Doomsteed is a 4 cost minion with 2 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Get your Deathrattle cards.",Rogue,Minion,,
"The card named Feng Shui Oskar is a 4 cost pirate minion with 4 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Resurrect a friendly Pirate. Once it dies, give the enemy minion plus 4 Attack",Rogue,Minion,,
"The card named Idylls, the Wilderness is a 4 cost minion with 1 health and 5 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover a Secret. If you're holding a Crystal, Discover a",Rogue,Minion,,
"The card named Dracula is a 5 cost pirate minion with 6 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Shuffle two pirates into your deck.",Rogue,Minion,,
"The card named Ruling Dreadsleeper is a 4 cost minion with 3 health and 3 attack, and includes the effects deal damage, battlecry. The card text says: Battlecry: Deal 1 damage to a random enemy minion that costs",Rogue,Minion,,
"The card named Skeleton Plotcher is a 5 cost minion with 2 health and 2 attack, and includes the effects trigger visual. The card text says: After you cast a spell, swap a random card into one that was created through your deck.",Rogue,Minion,,
"The card named Rookmaster is a 2 cost minion with 4 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Get a copy of a Pirate from your deck.",Rogue,Minion,,
"The card named Redeemed Reaver is a 4 cost undead minion with 3 health and 4 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover a Secret. Discover a card.",Rogue,Minion,,
"The card named Thrilling Slayer is a 5 cost dragon minion with 4 health and 4 attack, and includes the effects rush. The card text says: Rush, Gain plus 1 Attack while carrying a copy of this minion.",Rogue,Minion,,
"The card named Dragonsong Promittee is a 4 cost minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Shuffle four 4 dash 3 Dragons into your deck.",Rogue,Minion,,
"The card named Solid Hunter is a 5 cost minion with 5 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Play a Copy of a random friendly minion named Solid Hunter. Gain plus 4 dash plus 4.",Rogue,Minion,,
"The card named Resurrecting the Dragon is a 3 cost beast minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Gain Health from another minion. When played this turn, summon a copy of that minion.",Rogue,Minion,,
"The card named Spyhound is a 3 cost minion with 3 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Summon a random enemy minion from another class.",Rogue,Minion,,
"The card named Rusty Mech is a 6 cost minion with 4 health and 4 attack, and includes the effects deathrattle. The card text says: Deathrattle: Draw a weapon. Summon a copy of it.",Rogue,Minion,,
"The card named Sparrowbrick is a 7 cost pirate minion with 6 health and 9 attack, and includes the effects battlecry. The card text says: Battlecry: Summon a random 3 plus Cost Beast.",Rogue,Minion,,
"The card named Unleashed Hero is a 6 cost minion with 6 health and 6 attack, and includes the effects taunt, battlecry. The card text says: Taunt Battlecry: Summon two 2 dash 1 Mechs.",Rogue,Minion,,
"The card named Sorceress of Secrets is a 5 cost undead minion with 5 health and 4 attack, and includes the effects deathrattle, rush. The card text says: Rush Deathrattle: Shuffle 2 Random minion from your deck into your deck.",Rogue,Minion,,
"The card named Prickly Pear is a 8 cost minion with 7 health and 3 attack, and includes the effects deathrattle. The card text says: Deathrattle: Add a random Prickly Pear to your hand that costs (1) less.",Rogue,Minion,,
"The card named Crankpox is a 1 cost mech minion with 2 health and 1 attack, and includes the effects trigger visual. The card text says: After you play a card on a minion's deck, add a random random Mech to the bottom of your",Rogue,Minion,,
"The card named Tainty Ghoul is a 8 cost pirate minion with 8 health and 4 attack, and includes the effects trigger visual. The card text says: At the start of your turn, summon a random Pirate, then boost its Attack.",Rogue,Minion,,
"The card named Blast Hoover is a 3 cost murloc minion with 5 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Create 3 random Cards for that enemy minion.",Rogue,Minion,,
"The card named Ghoul Mech is a 2 cost minion with 3 health and 4 attack, and includes the effects trigger visual. The card text says: At the end of your turn, draw 1 cards.",Rogue,Minion,,
"The card named Defiant Frog is a 5 cost pirate minion with 7 health and 3 attack, and includes the effects trigger visual. The card text says: After you play a card with 4 or more Attack, draw a Hero from the past.",Rogue,Minion,,
"The card named Crayola is a 4 cost pirate minion with 4 health and 4 attack, and includes the effects rush, combo, rush. The card text says: Rush, Combo: Add a small copy of each other Pirate card to your hand.",Rogue,Minion,,
"The card named Rogue Drunkenmonarch is a 2 cost minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If your deck has no duplicates, draw a card.",Rogue,Minion,,
"The card named Rogue Blast Crap is a 3 cost pirate minion with 3 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Discard an enemy minion. Reward: Give it plus 1 Attack.",Rogue,Minion,,
"The card named Bender Hunter is a 5 cost miniature with 5 health and 5 attack, and includes the effects deathrattle. The card text says: Deathrattle: Summon three 1 dash 1 Frogs.",Rogue,Minion,,
"The card named Smuggler is a 1 cost beast minion with 1 health and 6 attack, and includes the effects battlecry. The card text says: Battlecry: If you play a Dragon card, give your character plus 1 dash plus 1.",Rogue,Minion,,
"The card named Rogue Zombie is a 5 cost minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Get a copy of another Rogue Zombie.",Rogue,Minion,,
"The card named Rexisser is a 4 cost minion with 4 health and 2 attack, and includes the effects trigger visual. The card text says: After your hero attacks and kills a friendly minion, attack a random player in your deck.",Rogue,Minion,,
"The card named Aura of the Rings is a 6 cost undead minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Choose a friendly minion from your deck.",Rogue,Minion,,
"The card named The Flying Ghoul is a 3 cost minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Shuffle a copy of your opponent's Card into your deck.",Rogue,Minion,,
"The card named The Silverware Troll is a 6 cost undead minion with 5 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Set a minion's Attack and Health to 1.",Rogue,Minion,,
"The card named Stunk-Heart is a 4 cost minion with 4 health and 4 attack, and includes the effects deathrattle, battlecry. The card text says: Battlecry: You summon a random card in your opponent's deck.",Rogue,Minion,,
"The card named Mummy's Reborn is a 3 cost pirate minion with 6 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: If you played a Pirate this turn, summon a copy of it.",Rogue,Minion,,
"The card named Spy Cat is a 4 cost minion with 4 health and 5 attack, and includes the effects deathrattle. The card text says: Deathrattle: Summon a random creature with Taunt.",Rogue,Minion,,
"The card named Ruining Gloomtrixie is a 2 cost inert minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If you're holding a Dragon, save it.",Rogue,Minion,,
"The card named Slurp Runner is a 2 cost minion with 3 health and 2 attack, and includes the effects battlecry, rush. The card text says: Rush. Battlecry: When this attacks, the last spell you play costs (1) less.",Rogue,Minion,,
"The card named Reuben the Ghoul is a 5 cost minion with 5 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Add a random Pirate to your hand.",Rogue,Minion,,
"The card named Bumper, Killer is a 8 cost minion with 6 health and 5 attack, and includes the effects deathrattle. The card text says: Deathrattle: Give a random friendly minion plus 2 dash plus 2.",Rogue,Minion,,
"The card named Oasis Avatar is a 2 cost beast minion with 3 health and 5 attack, and includes the effects battlecry. The card text says: Battlecry: Draw a card. Give him a new character.",Rogue,Minion,,
"The card named Swarmthorn is a 6 cost pirate minion with 5 health and 3 attack, and includes the effects trigger visual. The card text says: After you play a card that costs (1) or less, summon a 2 dash 2 Swarmthorn with Rush, then it steal",Rogue,Minion,,
"The card named Sokol-Sunken is a 9 cost pirate minion with 5 health and 5 attack, and includes the effects battlecry. The card text says: Battlecry: If you control a Secret, create a card.",Rogue,Minion,,
"The card named Mournee Boer is a 8 cost pirate minion with 8 health and 6 attack, and includes the effects battlecry. The card text says: Battlecry: Gain plus 1 dash plus 1 for each other Pirate. (At the start of your turn,",Rogue,Minion,,
"The card named Golem Killer is a 2 cost beast minion with 2 health and 3 attack, and includes the effects rush, taunt, battlecry. The card text says: Rush Battlecry: Give your other minions plus 1 Attack.",Rogue,Minion,,
"The card named Punkstripper is a 6 cost minion with 6 health and 3 attack, and includes the effects deathrattle. The card text says: Deathrattle: If the enemy minion has 6 or more Attack, gain plus 2 Attack for each",Rogue,Minion,,
"The card named Blackscythe is a 6 cost minion with 8 health and 6 attack, and includes the effects battlecry. The card text says: Battlecry: Give a friendly minion plus 7 Attack.",Rogue,Minion,,
"The card named Mouched-Out Smuggler is a 4 cost minion with 5 health and 5 attack, and includes the effects trigger visual. The card text says: After you play a Secret, get two 1 dash 1 Smugglers.",Rogue,Minion,,
"The card named Feast Dragon is a 2 cost minion with 3 health and 2 attack, and includes the effects deadly stealth. The card text says: Stealth. Wilde and Deathrattle: If you've Played a Dragon, gain a",Rogue,Minion,,
"The card named Drunkhead is a 5 cost murloc minion with 5 health and 3 attack, and includes the effects epic rush. The card text says: Rush. Infuse & Magic: If there is no Deathrattle, draw 1 cards.",Rogue,Minion,,
"The card named Mocking Ball Aura is a 2 cost minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Draw a card.",Rogue,Minion,,
"The card named Poisonous Destroyer is a 3 cost minion with 3 health and 3 attack, and includes the effects deathrattle, rush, trigger visual. The card text says: Rush After your hero attacks, gain plus 1 Attack.",Rogue,Minion,,
"The card named Spybot is a 2 cost minion with 6 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Draw a card. Give damage equal to this minion's Attack to the enemy hero.",Rogue,Minion,,
"The card named The Grass Bear is a 4 cost undead minion with 6 health and 3 attack, and includes the effects combo. The card text says: Combo: Add 2 random Random Hand Held minions to your hand.",Rogue,Minion,,
"The card named Roaring Sword is a 1 cost pirate minion with 1 health and 1 attack, and includes the effects deal damage, deathrattle. The card text says: Deathrattle: Deal 2 damage.",Rogue,Minion,,
"The card named Frogfin is a 6 cost minion with 7 health and 6 attack, and includes the effects taunt, trigger visual. The card text says: Taunt Whenever your hero attacks an enemy, deal 1 damage.",Rogue,Minion,,
"The card named Bargained Smuggler is a 4 cost pirate minion with 5 health and 5 attack, and includes the effects reborn, trigger visual. The card text says: At the end of your turn, you will summon a 1 dash 1 Banshee.",Rogue,Minion,,
"The card named Whelp, Ivory Mech is a 3 cost minion with 4 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Draw a Pokemon. Fill out a 5 dash 5 Unaffordable with Taun",Rogue,Minion,,
"The card named Eternal Hoarder is a 3 cost minion with 3 health and 3 attack, and includes the effects aura. The card text says: Your Hero Power has plus 3 Attack, while your mate has plus 3 Attack.",Rogue,Minion,,
"The card named Evocator is a 3 cost pirate minion with 3 health and 2 attack, and includes the effects deathrattle. The card text says: Deathrattle: Draw 2 cards. Spend 3 Corpses to make one.",Rogue,Minion,,
"The card named Scentless Arcanist is a 6 cost minion with 3 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Give your minions Rush while holding a spell.",Rogue,Minion,,
"The card named Thronfly is a 5 cost pirate minion with 5 health and 5 attack, and includes the effects battlecry. The card text says: Battlecry: If they have copies of all copies stolen, cast the same.",Rogue,Minion,,
"The card named Sorcerer Hoarder is a 5 cost murloc minion with 6 health and 6 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover a Murloc.",Rogue,Minion,,
"The card named Angora is a 4 cost pirate minion with 4 health and 4 attack, and includes the effects deathrattle. The card text says: Deathrattle: Gain plus 1 dash plus 1. Deathrattle: Gain plus 1 dash",Rogue,Minion,,
"The card named Apocalypse is a 5 cost minion with 6 health and 8 attack, and includes the effects deathrattle, rush. The card text says: Rush Deathrattle: Add two 1 dash 1 Swords to your hand.",Rogue,Minion,,
"The card named Intrepid Blinker is a 5 cost minion with 7 health and 7 attack, and includes the effects trigger visual. The card text says: After you play a card in your opponent's hand, summon a 3 dash Mech with Rush plus 1.",Rogue,Minion,,
"The card named Skeletal Poisonous is a 6 cost minion with 4 health and 3 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover and swap 2 random Poisonous",Rogue,Minion,,
"The card named Tailor's Whisperer is a 7 cost minion with 3 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Give one random friendly minion plus 2 dash plus 2.",Rogue,Minion,,
"The card named Arcane Ghoul is a 2 cost gorilla minion with 2 health and 2 attack, and includes the effects deathrattle, rush. The card text says: Rush Deathrattle: Summon a 1 dash 1, 1 stealth minion.",Rogue,Minion,,
"The card named Blazed-Hat is a 1 cost pirate minion with 2 health and 3 attack, and includes the effects deathrattle. The card text says: Deathrattle: Add this minion to your hand.",Rogue,Minion,,
"The card named Skeletable Skeletal Ghoul is a 1 cost beast minion with 3 health and 0 attack, and includes the effects battlecry. The card text says: Battlecry: When a friendly Beast enters your deck, return it to the battlefield.",Rogue,Minion,,
"The card named Blaeder is a 2 cost minion with 3 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: If you've cast a spell while holding a Poisonous weapon, discover it.",Rogue,Minion,,
"The card named Revolver Slayer is a 2 cost undead minion with 5 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: If you've played a copy of a Card in your hand this game, summon a",Rogue,Minion,,
"The card named Baron-on-The-Road is a 9 cost minion with 8 health and 8 attack, and includes the effects battlecry. The card text says: Battlecry: Give a friendly Beast plus 4 Attack this turn.",Rogue,Minion,,
"The card named Doomfyr is a 5 cost undead minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Draw a card. This includes All spells that cost (1) less.",Rogue,Minion,,
"The card named Ostrich, the Scarlett is a 5 cost minion with 5 health and 5 attack, and includes the effects battlecry. The card text says: Battlecry: Give a random friendly minion along with it plus 2 dash plus 2.",Rogue,Minion,,
"The card named Flocking Swarmer is a 1 cost demon minion with 2 health and 0 attack, and includes the effects deathrattle, battlecry. The card text says: Battlecry: Shuffle a random 2 plus Cost minion into your deck. Death",Rogue,Minion,,
"The card named Prismatic Reaver is a 7 cost pirate minion with 8 health and 7 attack, and includes the effects deal damage, trigger visual. The card text says: At the end of your turn, deal the least damage to all enemy minions into your deck.",Rogue,Minion,,
"The card named Rogue Dragon is a 2 cost mech minion with 2 health and 2 attack, and includes the effects deathrattle, battlecry. The card text says: Battlecry: Swap the cost of a card in the game with your",Rogue,Minion,,
"The card named Rogue-Eared Mana Cutter is a 4 cost minion with 4 health and 2 attack, and includes the effects trigger visual. The card text says: After you play a minion, gain plus 1 Attack.",Rogue,Minion,,
"The card named The Smuggler is a 16 cost pirate minion with 11 health and 7 attack, and includes the effects deathrattle, taunt. The card text says: Taunt Deathrattle: Add a random Pirate to your hand.",Rogue,Minion,,
"The card named Leothearn is a 4 cost minion with 4 health and 4 attack, and includes the effects rush, battlecry. The card text says: Rush Battlecry: Gain plus 1 Attack for each other card you've played",Rogue,Minion,,
"The card named Innkeeper is a 5 cost minion with 6 health and 3 attack, and includes the effects deathrattle, rush. The card text says: Rush Deathrattle: Gain plus 2 dash plus 1 for each random enemy minion you control this game.",Rogue,Minion,,
"The card named Awakening Metall-O-Motion is a 5 cost nature minion with 6 health and 3 attack, and includes the effects deathrattle. The card text says: Deathrattle: Give a random friendly minion plus 2 dash plus 2.",Rogue,Minion,,
"The card named Insidious Demon is a 1 cost beast minion with 3 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Gain plus 1 dash plus 1 for each enemy.",Rogue,Minion,,
"The card named Barrowfin Grinder is a 3 cost undead minion with 3 health and 2 attack, and includes the effects deathrattle, trigger visual. The card text says: Whenever you draw a card, increase the Damage of your Summon.",Rogue,Minion,,
"The card named Potion Thief is a 2 cost minion with 3 health and 3 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover a Potion Thief. Discover a copy of it.",Rogue,Minion,,
"The card named Solid Sock is a 2 cost pirate minion with 2 health and 4 attack, and includes the effects deathrattle. The card text says: Deathrattle: Give your hero plus 2 Attack this turn.",Rogue,Minion,,
"The card named Amorphous Manipulator is a 8 cost minion with 5 health and 4 attack, and includes the effects rush, battlecry. The card text says: Rush Victory Battlecry: Summon a 2 dash 2 copy of the last minion in your deck",Rogue,Minion,,
"The card named Deluded, The Gathered is a 3 cost minion with 4 health and 2 attack, and includes the effects deathrattle. The card text says: Deathrattle: Summon two 1 dash 1 Demons.",Rogue,Minion,,
"The card named Taboo Blast-Finger is a 5 cost minion with 4 health and 4 attack, and includes the effects dodgeball, rush, deathrattle, battlecry. The card text says: Rush. Battlecry: Summon two 1 dash 1 Imps with",Rogue,Minion,,
"The card named Concoction Ghetto is a 9 cost minion with 10 health and 5 attack, and includes the effects deathrattle. The card text says: Deathrattle: Summon a random game of a random 3 plus Cost minion that died this turn.",Rogue,Minion,,
"The card named Concoctioned Soulkeeper is a 8 cost minion with 8 health and 8 attack, and includes the effects deathrattle, taunt, trigger visual. The card text says: Taunt Deathrattle: Summon a 5 dash 5",Rogue,Minion,,
"The card named Eternal Debritarist is a 6 cost undead minion with 6 health and 1 attack, and includes the effects deathrattle. The card text says: Deathrattle: Gain 4 Armor for the next level.",Rogue,Minion,,
