description,faction_code,type,legitibility,faction,henry,sam,eli,viktor,Abraham,"Scoring format
legibility/faction/comedy"
"The card named C-Station is a 1 cost asset with the subtypes run. It has an influence requirement of 3. It has a trash cost of 4. The card text says Run research to unlock any number of subroutines. If successful, instead of purchasing, pay 2 credits. If successful, charge 1",weyland-consortium,asset,,,,,,,,
"The card named Cobra Virus is a 0 cost asset with the subtypes . It has an influence requirement of 2. It has a trash cost of 5. The card text says When a key is deleted, you may trash the rest of the",weyland-consortium,asset,,,,,,,,
"The card named ""The Future of Our World"" is a 0 cost asset with the subtypes trait. It has an influence requirement of 1. It has a trash cost of 1. The card text says ""When a corporation loses, it steals the first card in that subroutine."" The Corp takes up to 5 credits. You may trash this asset, lowering both credit lengths by gaining",weyland-consortium,asset,,,,,,,,
"The card named Deer Creek is a 5 cost asset with the subtypes network. It has an influence requirement of 2. It has a trash cost of 3. The card text says Subroutine The Corp gets 6 credits for each of its ships. Remove your name, but trash",weyland-consortium,asset,,,,,,,,
"The card named New York State City Council is a 25 cost asset with the subtypes asset. It has an influence requirement of 2. It has a trash cost of 5. The card text says In order to gain access to this asset, draw 1 card. Use this ability only if you have 0",weyland-consortium,asset,,,,,,,,
The card named The Secret Room is a 3 cost asset with the subtypes security. It has an influence requirement of 3. It has a trash cost of 3. The card text says Place 1 credit on the bottom of each stack of your score area. Click to trash,weyland-consortium,asset,,,,,,,,
"The card named Terra-Trojans is a 0 cost asset with the subtypes entity, hostile. It has an influence requirement of 3. It has a trash cost of 4. The card text says Place 1 charge on Terra-Trojans if they have at least 1 installed file. Subroutine Take 1",weyland-consortium,asset,,,,,,,,
The card named Latiz de l'Arctic is a 5 cost asset with the subtypes alliance. It has an influence requirement of 2. It has a trash cost of 4. The card text says Play only if the Runner has at least 3 installed cards during the last turn. click: Unrezzed card .,weyland-consortium,asset,0,0,,,,0/0/0,,
"The card named Embedded Systems is a 3 cost asset with the subtypes security. It has an influence requirement of 2. It has a trash cost of 3. The card text says Gain 2 credits. You may spend credits once in the campaign. If successful, trash all cards in Research and analyze it.",weyland-consortium,asset,,,,,,,,
"The card named Resurrection is a 2 cost asset with the subtypes . It has an influence requirement of 1. It has a trash cost of 3. The card text says When you install this asset, install the first piece of ice protecting this asset. When the",weyland-consortium,asset,,,,,,,,
"The card named CJI is a 9 cost asset with the subtypes commonsense, augmented. It has an influence requirement of 3. It has a trash cost of 4. The card text says click, Whenever a piece of ice are damaged, remove it from the game. If the ice is damaged, trash it.",weyland-consortium,asset,,,,,,,,
"The card named Flood City is a 3 cost asset with the subtypes temporary. It has an influence requirement of 2. It has a trash cost of 3. The card text says As an additional cost to play this asset, spend click. If you made a successful run on Flood City, take 1 x ice cube blocks.",weyland-consortium,asset,0,0,,,,0/0/1,,
"The card named Confederate Alliance is a 3 cost asset with the subtypes alliance, virtual. It has an influence requirement of 3. It has a trash cost of 4. The card text says If successful, grant 1 additional credit. If awarded, if you made a successful run on headquarters,",weyland-consortium,asset,0,0,,,,0/0/0,,
"The card named Swarm is a 4 cost asset with the subtypes trait. It has an influence requirement of 3. It has a trash cost of 4. The card text says When the Runner encounters this asset, they trash it. If this asset is trashed, the Runner loses",weyland-consortium,asset,2,0,,,,2/0/1,,
"The card named Slasher is a 4 cost asset with the subtypes . It has an influence requirement of 3. The card text says Gain 1 credit if the Runner has fewer than 3 credits. When the Runner gets to this asset, there is no credit for",weyland-consortium,asset,0,0,,,,0/0/0,,
"The card named Yash-Im-Lee: The City's Chief Information Officer is a 4 cost upgrade with the subtypes colonial. It has an influence requirement of 1. It has a trash cost of 4. The card text says When your turn begins, if you have less than 2.",weyland-consortium,upgrade,1,0,,,,,,
"The card named Jeremiah R. McLaughlin is a 2 cost upgrade with the subtypes security. It has an influence requirement of 2. It has a trash cost of 3. The card text says When your turn begins, you may trash 1 of your installed cards. Subroutine Use this ability only when the Runner encounters this upgrade.",weyland-consortium,upgrade,1,1,,,,,,
"The card named The Magic Garden is a 5 cost upgrade with the subtypes security. It has an influence requirement of 3. It has a trash cost of 5. The card text says Whenever you reach any of these locations, place 1 card of clothing on it.",weyland-consortium,upgrade,0,0,,,,0/0/1,,
"The card named Provost is a 3 cost upgrade with the subtypes facility, infrastructure, machine. It has an influence requirement of 1. It has a trash cost of 3. The card text says This card is not trashed until another current is played or an agenda is stolen or deleted.",weyland-consortium,upgrade,1,0,,,,,,
The card named Insomnia is a 2 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 4. The card text says Subroutine Gain 1 credit for each of your installed cards.,weyland-consortium,upgrade,1,1,,,,,,
"The card named St. Ives Foundation is a 2 cost upgrade with the subtypes security. It has an influence requirement of 3. It has a trash cost of 4. When you install this upgrade, trash the rest of the card.",weyland-consortium,upgrade,,,,,,,,
"The card named Alvarado is a 2 cost upgrade with the subtypes security. It has an influence requirement of 2. It has a trash cost of 1. The card text says If you are tagged while on this upgrade, you may trash 1 card from headquarters in headquarters.",weyland-consortium,upgrade,,,,,,,,
"The card named Revolving Control is a 5 cost upgrade with the subtypes environment. It has an influence requirement of 2. It has a trash cost of 4. The card text says The first time you make a successful run on headquarters, trash 3 hardware blocks in headquarters and trash 1 card within Headquarters.",weyland-consortium,upgrade,0,0,,,,0/0/0,,
"The card named Prototype is a 4 cost upgrade with the subtypes alliance. It has an influence requirement of 2. It has a trash cost of 3. The card text says When you score this upgrade, if you've not already done so, trash 1 card in your grip. The Corp's",weyland-consortium,upgrade,,,,,,,,
The card named Black Opal is a 0 cost upgrade with the subtypes . It has an influence requirement of 2. It has a trash cost of 3. The card text says Pay 1 credit for each available card with a subroutine on it. trash 5 credits: Subroutine,weyland-consortium,upgrade,,,,,,,,
"The card named Issa-Teanor House is a 2 cost upgrade with the subtypes codegate. It has an influence requirement of 2. It has a trash cost of 1. The card text says As an additional cost to pay for this upgrade, pay 1. Then, take 2 credits. When the Runner accesses this upgrade, click,",weyland-consortium,upgrade,,,,,,,,
The card named Laverne is a 0 cost upgrade with the subtypes gateway. It has an influence requirement of 2. It has a trash cost of 3. The card text says Install only if the Runner is tagged. When,weyland-consortium,upgrade,,,,,,,,
"The card named Iacoba is a 3 cost upgrade with the subtypes . It has an influence requirement of 2. The card text says click: The first time each turn you make a successful run on headquarters, you may draw 1 card. Subroutine x",weyland-consortium,upgrade,,,,,,,,
"The card named The Scanner is a 3 cost upgrade with the subtypes barrier, . It has an influence requirement of 4. It has a trash cost of 6. The card text says This card is not trashed until after the next turn. When it is trashed, trash it.",weyland-consortium,upgrade,,,,,,,,
"The card named Ascot County is a 6 cost upgrade with the subtypes . It has an influence requirement of 1. It has a trash cost of 3. The card text says When the Corporation trashes Ascot County during a run, it trashes all but 1 of its installed cards. You may trash up to 2 cards",weyland-consortium,upgrade,,,,,,,,
The card named Free Trade is a 2 cost operation with the subtypes . It has an influence requirement of 2. It has a trash cost of 3. The card text says Play only if the Corp has at least 2 active card subroutines. While,weyland-consortium,operation,0,0,,,,0/0/0,,
"The card named Emotional Block is a 3 cost operation with the subtypes transaction. It has an influence requirement of 2. It has a trash cost of 3. The card text says As an additional cost to play this operation, spend click. Subroutine Take 2 tags.",weyland-consortium,operation,1,0,,,,1/0/0,,
"The card named Electra: Evolutiosis is a 6 cost operation with the subtypes . It has an influence requirement of 3. It has a trash cost of 5. The card text says Whenever the Corporation issues a piece of ice, the X X 0 impact requirement of Electra",weyland-consortium,operation,0,0,,,,0/0/0,,
"The card named Infiltration is a 40 deck size operation with the subtypes . It has an influence requirement of 2. The card text says The first time each turn you place An ISIS threat on Infiltration, you may trash 1 of your score options. Subroutine You",weyland-consortium,operation,0,0,,,,0/0/0,,
"The card named The Office is a 2 cost operation with the subtypes decoder, transaction, icebreaker. It has an influence requirement of 3. The card text says When you install this operation, gain 2 credits. If you do, gain 2 credits. Subroutine",weyland-consortium,operation,2,1,,,,2/1/0,,
"The card named Dice is a 0 cost operation with the subtypes transaction. It has an influence requirement of 1. The card text says Play only if the Corp. During this run, spend credit for each tag on it. When the Corp reaches",weyland-consortium,operation,0,0,,,,0/0/0,,
The card named Assistive Technology is a 1 cost operation with the subtypes security. It has an influence requirement of 3. The card text says Choose 2 installations. In your score area. Subroutine The Runner loses 1 installed system privilege after each run.,weyland-consortium,operation,0,0,,,,0/0/0,,
"The card named Treadmill is a 2 cost operation with the subtypes transaction. It has an influence requirement of 5. The card text says When you install this operation, the Corp trashes 1 of its assets. When your turn begins, gain 3 credits and draw 1 card for each of your",weyland-consortium,operation,1,1,,,,1/1/0,,
"The card named Embrace Your Potential is a 0 cost operation with the subtypes operation. It has an influence requirement of 3. It has a trash cost of 3. The card text says When you install this operation, discard 1 or more installed cards from the list.",weyland-consortium,operation,0,0,,,,0/0/0,,
"The card named Global Clean-up is a 2 cost operation with the subtypes division, icebreaker. It has an influence requirement of 2. The card text says Whenever you encounter a piece of ice during a routine run, you may place 1 power counter on Global Cleanup.",weyland-consortium,operation,0,0,,,,0/0/0,,
"The card named Business is a 45 deck size operation with the subtypes transaction. It has an influence requirement of 4. The card text says Make a run on this operation. If successful, instead of losing all resources on this activity, gain",weyland-consortium,operation,0,0,,,,0/0/1,,
"The card named Difficulty in Data Loss: The First Step is a 2 cost operation with the subtypes . It has an influence requirement of 3. The card text says If you breach this operation in Data Loss, you may use this ability once per turn. Whenever",weyland-consortium,operation,0,0,,,,0/0/0,,
The card named Operation In a Box is a 2 cost operation with the subtypes connection. It has an influence requirement of 3. The card text says click Click: Place 1 on Operation In a box of ice.,weyland-consortium,operation,0,0,,,,0/0/1,,
"The card named Interference is a 3 cost operation with the subtypes . It has an influence requirement of 1. It has a trash cost of 2. The card text says If the Corp has an influence requirement of 3 or more. If so, the Corp has a trash cost of 3. The Corp cannot accept the ingress card. Whenever the Corp",weyland-consortium,operation,,,,,,,,
"The card named The Bruins of the World is a 2 cost operation with the subtypes network operation. It has an influence requirement of 4. The card text says When the Runner encounters this operation, the Corp loses 1 credit. Subroutine You rez 1 card for each of these actions. If 0 credits are rezzed",weyland-consortium,operation,,,,,,,,
"The card named Security Operations is a 2 cost operation with the subtypes security. It has an influence requirement of 2. The card text says When your turn begins, the Corp credits you with 1 score, as an additional cost to repair this operation. The Corp credits that you do",weyland-consortium,operation,,,,,,,,
"The card named The Extinction Reporting is a 3 cost operation with the subtypes run. It has an influence requirement of 2. It has a trash cost of 3. The card text says Run the system. The Runner steals 2 cards when they breach your grip. When you breach headquarters and rez this operation,",weyland-consortium,operation,,,,,,,,
"The card named Grassroots Recruiting is a 5 cost operation with the subtypes raid. It has an influence requirement of 2. It has a trash cost of 3. The card text says You may trash 1 of your installed cards. If you do, you may trash that",weyland-consortium,operation,,,,,,,,
"The card named Phenomenon is a 3 cost operation with the subtypes operation. It has an influence requirement of 2. It has a trash cost of 4. The card text says When your turn begins, place 2 credits on Phenomenon until your",weyland-consortium,operation,0,1,,,,0/1/0,,
"The card named Xerox is a 0 cost operation with the subtypes . It has an influence requirement of 2. The card text says Gain 1 credit. After you lose all rights, draw 1 card. If you do, gain 3 credits.",weyland-consortium,operation,,,,,,,,
The card named Rookie Reduction is a 3 cost operation with the subtypes . It has an influence requirement of 3. It has a trash cost of 3. The card text says Add 2 credits per turn to your score area. Click to score 3 credits.,weyland-consortium,operation,,,,,,,,
"The card named Expendit: Global Initiative is a 2 cost operation with the subtypes run. It has an influence requirement of 2. The card text says Run research. Upon successful completion, you may take 1 tag. 1 credit: Break 1 subroutine. Trash 1 card",weyland-consortium,operation,,,,,,,,
The card named AWS is a 2 cost operation with the subtypes . It has an influence requirement of 2. The card text says Play only if the Runner has 5 or more installed cards or is tagged. Trash 1 or more of them. If your,weyland-consortium,operation,2,1,,,,2/1/1,,
"The card named Assassin is a 5 cost operation with the subtypes . It has an influence requirement of 3. It has a trash cost of 3. The card text says Whenever your turn begins after a successful run on headquarters or offices, or after you make a successful run on headquarters, Assassin becomes unintentionally trashed and has 3 power counters.",weyland-consortium,operation,,,,,,,,
"The card named Renewable Resources is a 2 cost operation with the subtypes run. It has an influence requirement of 2. It has a trash cost of 2. The card text says Play only if you make a successful run this turn. Whenever this run is interrupted, if the Runner takes 20 or more of their total impact from",weyland-consortium,operation,0,0,,,,0/0/0,,
The card named The Cove is a 4 cost 1 strength ice with the subtypes barrier. It has an influence requirement of 2. The card text says Play only on assets and rez cards. Subroutine Get the Runners score score,weyland-consortium,ice,,,,,,,,
"The card named Booster is a 12 cost 9 strength ice with the subtypes barrier. It has an influence requirement of 2. The card text says Subroutine Keep 3 or more card in the root of this ice. Subroutine Break 1 barrier. Whenever your turn begins, make a",weyland-consortium,ice,,,,,,,,
"The card named The Darkness is a 2 cost 6 strength ice with the subtypes codegate, sentry. It has an influence requirement of 4. The card text says Subroutine Resolve 2 net attacks (including destruction). You can rez this ice without interrupting its operation if you choose. Subroutine Resolve 2 net attacks (excluding execution). Subroutine Routine",weyland-consortium,ice,,,,,,,,
"The card named Confederations is a 1 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 3. It has a trash cost of 4. The card text says When you rez this ice, place 1 power counter on Confederations. When they do that",weyland-consortium,ice,,,,,,,,
"The card named Rift and Diffusion is a 2 cost 3 strength ice with the subtypes codegate, satellite. It has an influence requirement of 3. The card text says When your turn begins, you may place 1 power counter, plus 1 strength on the Runner.",weyland-consortium,ice,,,,,,,,
The card named Psyche is a 7 cost 3 strength ice with the subtypes gene. It has an influence requirement of 3. The card text says You may remove up to 4 X ice when the Runner encounters it. Subroutine Erase 1 tag. Click: Place,weyland-consortium,ice,,,,,,,,
"The card named Virus-Resistant: Legacy of Technology is a 4 cost 4 strength ice with the subtypes codegate, barrier, barrier. It has an influence requirement of 2. The card text says Subroutine Trace 4 . When the Runner encounters this ice, the Runner loses",weyland-consortium,ice,2,1,,,,2/1/1,,
"The card named X is a 40 cost 8 strength ice with the subtypes barrier. It has an influence requirement of 1. The card text says When your turn begins, if you've scored X or greater in the past six weeks, gain 3 credits. However, if you have",weyland-consortium,ice,1,1,,,,,,
"The card named XL-1 is a 2 cost 2 strength ice with the subtypes barrier. It has an influence requirement of 2. It has a trash cost of 3. The card text says When your turn begins, gain 1 credit.",weyland-consortium,ice,2,1,,,,,,
The card named Vulcan: Crasher is a 2 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 0. The card text says Subroutine Fight your opponent. Subroutine Fight back. Subroutine,weyland-consortium,ice,0,0,,,,,,
The card named Vault is a 3 cost 6 strength ice with the subtypes trap. It has an influence requirement of 4. The card text says Subroutine Trace 2 and make a run on it. Subroutine Trace 2,weyland-consortium,ice,1,0,,,,,,
"The card named Least Complex City is a 2 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 2. The card text says Subroutine Run the system. The first time each turn you install at least 1 copy of an older version of Least Complex City, you may score 1 card",weyland-consortium,ice,,,,,,,,
The card named Genie is a 3 cost 3 strength ice with the subtypes codegate. It has an influence requirement of 2. The card text says Genie consumes 1 credit. Subroutine The Runner may remove the Runner card when it reaches their end. Subroutine Gain 3 credits. Subroutine,weyland-consortium,ice,,,,,,,,
"The card named Vacant Space is a 0 cost 0 strength ice with the subtypes barrier, ap. It has an influence requirement of 3. The card text says Subroutine The first time each turn you make a successful run on headquarters, your Runner will trash this ice.",weyland-consortium,ice,,,,,,,,
The card named Nerval is a 3 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 4. The card text says Subroutine Lose click: Break 3 barriers installed and draw 1 card. The Runner loses click. Subroutine Lose click:,weyland-consortium,ice,,,,,,,,
"The card named Jeremiah Lear is a 18 cost 5 strength ice with the subtypes trap, destroyer, ap. It has an influence requirement of 3. It has a trash cost of 4. The card text says Take 3 or less credits from your grip when you score Jeremiah",weyland-consortium,ice,0,0,,,,0/0/0,,
"The card named Lavender is a 3 cost 2 strength ice with the subtypes codegate, barrier. It has an influence requirement of 4. It has a trash cost of 2. The card text says When your turn begins, when you encounter Lavender, place 1 power counter on it to gain 1 power counter",weyland-consortium,ice,,,,,,,,
The card named The Sphere is a 2 cost 8 strength ice with the subtypes gateway. It has an influence requirement of 1. The card text says Subroutine Engrave a piece of ice using this feature. Subroutine,weyland-consortium,ice,,,,,,,,
The card named Pedagogy on Psychic Life is a 3 cost 3 strength ice with the subtypes barrier. It has an influence requirement of 0. The card text says Subroutine End the run. Subroutine End the run. Subroutine End the run. Subroutine End the run. Subroutine End the run / subroutine,weyland-consortium,ice,,,,,,,,
"The card named The Black Cloud is a 4 cost 4 strength ice with the subtypes cybernetic. It has an influence requirement of 3. It has a trash cost of 4. The card text says Subroutine Efficient, but not required. When the Runner encounters this ice, gain 3 credits.",weyland-consortium,ice,,,,,,,,
The card named Electra 0 is a 4 cost 0 strength ice with the subtypes barrier. It has an influence requirement of 3. It has a trash cost of 4. The card text says Subroutine The Runner cannot add any tags to his counters.,weyland-consortium,ice,,,,,,,,
The card named Ike is a 5 cost 5 strength ice with the subtypes codegate. It has an influence requirement of 2. It has a trash cost of 3. The card text says Subroutine Create 1 card. Subroutine Create 1 piece of ice. Subroutine,weyland-consortium,ice,,,,,,,,
"The card named Crashing Clash is a 3 cost 6 strength ice with the subtypes barrier, dispatcher. It has an influence requirement of 2. The card text says Gain 2 credits. Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine Subroutine",weyland-consortium,ice,,,,,,,,
"The card named Scanner is a 1 cost 7 strength ice with the subtypes barrier. It has an influence requirement of 2. The card text says when the Runner encounters Scanner, you may place 1 snoop on Scanner. Subroutine Break 1 subroutine from",weyland-consortium,ice,,,,,,,,
"The card named KNX2 is a 10 cost 3 strength ice with the subtypes barrier. It has an influence requirement of 2. It has a trash cost of 3. The card text says If there is no installed barrier on this ice at all, trash all installed barriers.",weyland-consortium,ice,,,,,,,,
"The card named GMC Corporation is a 45 deck size identity with the subtypes union. It has an influence allotment of 0. The card text says When you install a card from headquarters during your next turn, reveal the top card of your stack and rez it. If the Runner's run is successful in that run, he or she loses click click",weyland-consortium,identity,2,1,,,,,,
"The card named Xinhua Jinyu is a 45 deck size identity with the subtypes association, . It has an influence allotment of 0. The card text says Each of the Xinhua cards on your grip must have at least 1 pixel length. Subroutine Increase",weyland-consortium,identity,0,0,,,,,,
"The card named Wedgehouse Corp is a 9 cost identity with the subtypes global. It has an influence allotment of 0. The card text says When you score this identity, you may make 1 monetary donation per server.",weyland-consortium,identity,0,0,,,,,,
"The card named The Context Is Not Real: The Context is a 47 deck size identity with the subtypes entity. It has an influence allotment of 0. The card text says The Context is not actual. When the Corp purchases this identity, they may trash that",weyland-consortium,identity,0,0,,,,,,
"The card named 'Licencing of the Sun' is a 40 deck size identity with the subtypes . It has an influence allotment of 0. The card text says click, click, and click: The first time each turn a card is scored on our research, you may gain 1 credit. Use that credit to place 1 card on a rezzed environment.",weyland-consortium,identity,1,1,,,,,,
"The card named Moose Field is a 0 cost identity with the subtypes . It has an influence allotment of 0. The card text says When you score this identity, trash 1 card from headquarters. Subroutine You may score 5 cards each.",weyland-consortium,identity,,,,,,0/0/0,,
"The card named Weyland Consortium: American Identities is a 15 deck size identity with the subtypes division. It has an influence allotment of 0. The card text says The first time you score a card for a series in any department, place 1 power counter on it.",weyland-consortium,identity,,,,,,,,
"The card named Black Label consists of two cards with the subtypes brand. It has an influence allotment of 0. The card text says Whenever you rez any identity, gain 1 credit for each accomplishment it has. If you rez Black Label, you may delete or trash 6 cards from your grip. You may not do a",weyland-consortium,identity,,,,,,,,
"The card named Slate-Comb is a 45 deck size identity with the subtypes global. It has an influence allotment of 0. The card text says Choose an identity from the dropdown: Whenever the Corp purchases a card from headquarters, it becomes the first place they pay your credit toward the top of the pile.",weyland-consortium,identity,,,,,,,,
"The card named Cryptic Cryptic Cryptic Cryptic Cryptic Cryptic: Crysis Center is a 40 deck size identity with the subtypes criminal, corporate. It has an influence allotment of 0. The card text says The first time you install each identity piece of ice, you may build 1 identity piece ice. The first time each",weyland-consortium,identity,,,,,,,,
"The card named Sense is a 3 advancement agenda worth 3 points with the subtypes research. It has an influence requirement of 0. The card text says When the Runner encounters Sense, they trash 5 of their cards. The Runner trashes 1 agenda counter with",nbn,agenda,2,0,,,,2/0/0,,
"The card named Breakthrough is a 5 advancement agenda worth 2 points with the subtypes . It has an influence requirement of 2. It has a trash cost of 4. The card text says When you score Breakthrough, you may install up to 3 agenda counters on the",nbn,agenda,2,1,,,,,,
"The card named New Order is a 0 advancement agenda worth 2 points with the subtypes . It has an influence requirement of 0. The card text says When you win, add an agenda to the top of the stack, instead of scoring it, trash it. When you end the turn, place 1 agenda counter on this agenda.",nbn,agenda,0,0,,,,,,
"The card named Breakthrough is a 4 advancement agenda worth 2 points with the subtypes agenda. It has an influence requirement of 2. The card text says As an additional cost to play this agenda, spend click. Click: Subroutine End your run.",nbn,agenda,,,,,,,,
"The card named The City of Birmingham is a 4 advancement agenda worth 1 points with the subtypes research. It has an influence requirement of 1. The card text says When the Runner encounters this agenda, they gain 2 credits when the Runner loses",nbn,agenda,2,0,,,,1/0/1,,
The card named Staining Technologies is a 3 advancement agenda worth 3 points with the subtypes advancement. It has an influence requirement of 0. It has a trash cost of 3. The card text says Each tag on the inside of your grip you gain 5 credits while using this agenda is garbage. The Corp costs 5 credits to steal 3 cards,nbn,agenda,,,,,,,,
"The card named Yenta is a 5 advancement agenda worth 2 points with the subtypes research. It has an influence requirement of 3. The card text says The Runner cannot access this agenda, but can gain",nbn,agenda,2,0,,,,2/0/1,,
"The card named Recruiters Guild is a 4 advancement agenda worth 3 points with the subtypes research. It has an influence requirement of 4. It has a trash cost of 3. The card text says As an additional cost to rez this agenda, if successful, spend click. Subroutine Your mouse click.",nbn,agenda,,,,,,,,
"The card named The Grand Counselor is a 3 advancement agenda worth 3 points with the subtypes security. It has an influence requirement of 3. The card text says When your turn begins, get 3 credits for each advanced card that has a rating of 3. You may place 2 recurring credits on this agenda at the bottom of your stack.",nbn,agenda,,,,,,,,
The card named Aura is a 4 advancement agenda worth 1 points with the subtypes expansion. It has an influence requirement of 2. The card text says Subroutine The Runner memory unitsst pay 1 credit for each location you are tagged.,nbn,agenda,,,,,,,,
"The card named “Join the Clock” is a 3 advancement agenda worth 3 points with the subtypes agenda. It has an influence requirement of 2. The card text says When your turn begins, you may tie this agenda to at least 3 icebreakers.",nbn,agenda,,,,,,,,
"The card named The Assassin is a 6 advancement agenda worth 2 points with the subtypes agenda. It has an influence requirement of 3. The card text says If the Assassin loses power during a run on headquarters, the Runner loses their score.",nbn,agenda,,,,,,,,
"The card named Assessment is a 3 advancement agenda worth 2 points with the subtypes mission. It has an influence requirement of 0. The card text says When you score Assessment, you may move 1 agenda counter to 1 organization. When you do this, trash that company",nbn,agenda,,,,,,,,
"The card named Breakthrough is a 3 advancement agenda worth 3 points with the subtypes security. It has an influence requirement of 3. The card text says When you score Breakthrough, do 1 net damage. Subroutine Use this advantage only when your turn begins. Subroutine",nbn,agenda,,,,,,,,
"The card named The Future of America is a 5 advancement agenda worth 3 points with the subtypes research. It has an influence requirement of 1. The card text says Subroutine Make a run on headquarters on headquarters, or rez 1 card in headquarters.",nbn,agenda,,,,,,,,
"The card named Spike is a 2 cost asset with the subtypes threat, icebreaker. It has an influence requirement of 2. It has a trash cost of 3. The card text says Whenever you make a successful run on the server, you may place 1 power counter on a ice counter. Disable 1 key from your grip when this attack begins.",nbn,asset,1,0,,,,,,
"The card named Kitty Ida is a 1 cost asset with the subtypes . It has an influence requirement of 3. It has a trash cost of 3. The card text says While the Runner is attempting to take advantage of this asset, they counter 1 bad publicity. trash: Gain 1",nbn,asset,2,0,,,,,,
The card named Yuri is a 40 deck size asset with the subtypes . It has an influence requirement of 1. The card text says Take 1 of each of your installed cards to a location. Subroutine Gain 4 credits.,nbn,asset,0,0,,,,,,
"The card named Ogilvy Bender is a 0 cost asset with the subtypes . It has an influence requirement of 2. It has a trash cost of 3. The card text says When you install Ogilvy Bender, you may add these assets to your stack as an asset to the top of your stack. This asset cannot be trashed during any turn.",nbn,asset,1,0,,,,,,
"The card named The Big Mac is a 0 cost asset with the subtypes run. It has an influence requirement of 1. It has a trash cost of 2. The card text says Run the Runner. When your turn begins, you may take 1 bad publicity. when",nbn,asset,1,0,,,,,,
"The card named Smattery-Wolverine is a 0 cost asset with the subtypes asset. It has an influence requirement of 0. It has a trash cost of 5. The card text says Place 1 power counter on Smattery-Wolverine when it is lost during a turn. When the Runner reaches 1 power counter, place 1 power counter on it.",nbn,asset,,,,,,,,
"The card named Invasion is a 2 cost asset with the subtypes . It has an influence requirement of 3. It has a trash cost of 3. The card text says The Runner can gain 3 credits when installed without paying a charge. If successful, trash 1 card in the root of each server. Gain 3 credits when installed",nbn,asset,,,,,,,,
"The card named Oemco is a 3 cost asset with the subtypes . It has an influence requirement of 1. It has a trash cost of 3. The card text says When your turn begins and you get paid 3 credits including the cost of trashing the card from headquarters, choose a card from",nbn,asset,,,,,,,,
"The card named The City of Los Angeles is a 2 cost asset with the subtypes trap, tie. It has an influence requirement of 2. It has a trash cost of 1. The card text says Subroutine Resolve 2 of the resulting icebreakers,",nbn,asset,,,,,,,,
"The card named Sally Streams is a 2 cost asset with the subtypes sysop. It has an influence requirement of 0. It has a trash cost of 2. The card text says Whenever you have a successful run, you may add a card",nbn,asset,,,,,,,,
"The card named Clyde McIntyre is a 1 cost asset with the subtypes asset. It has an influence requirement of 1. It has a trash cost of 2. The card text says Draw 1 card. Draw 2 cards. Whenever the Runner is not tagged, gain permission.",nbn,asset,,,,,,,,
"The card named Rantham is a 4 cost asset with the subtypes barrier. It has an influence requirement of 2. It has a trash cost of 2. The card text says click: Place 1 garbage on this asset. When I install this asset, place 1 garbage card on this asset.",nbn,asset,,,,,,,,
The card named “Middleman” is a 0 cost asset with the subtypes . It has an influence requirement of 1. It has a trash cost of 2. It has a trash cost of 3. The card text says Subroutine Make a run on headquarters during this run. Subroutine Gain 3 credits. Subroutine,nbn,asset,,,,,,,,
The card named Leverage is a 2 cost asset with the subtypes connection. It has an influence requirement of 3. It has a trash cost of 3. The card text says Access only,nbn,asset,,,,,,,,
The card named The Osage: The Economist is a 3 cost asset with the subtypes . It has an influence requirement of 2. The card text says Click: Place 1 credit toward this asset on The Osage: The Economist cannot remove cards from their stacks by upgrading with,nbn,asset,,,,,,,,
"The card named Snitch is a 2 cost asset with the subtypes asset. It has an influence requirement of 2. It has a trash cost of 3. The card text says Click, click: Place 1 tag on a card in your grip, then place 1 tag on it. Subroutine Remove 1 tag.",nbn,asset,,,,,,,,
"The card named The Optimum Reward is a 1 cost asset with the subtypes . It has an influence requirement of 3. It has a trash cost of 3. The card text says When your turn begins, find 1 installed copy of this asset. In this turn, discard 1 installed copy of the installed card.",nbn,asset,,,,,,,,
"The card named Sickhead is a 0 cost asset with the subtypes . It has an influence requirement of 2. It has a trash cost of 2. The card text says As an additional cost to play this asset, spend click Click. Whenever you make a successful run on this server (you may place",nbn,asset,,,,,,,,
"The card named The Power of Law is a 6 cost asset with the subtypes codegate. It has an influence requirement of 3. It has a trash cost of 4. The card text says Subroutine Whenever you install a card during the run, gain 6 credits with the Runner.",nbn,asset,,,,,,,,
"The card named Commodore is a 3 cost asset with the subtypes barrier. It has an influence requirement of 0. It has a trash cost of 4. The card text says When you rez this asset, you may trash 1 of the Runners cards from the gaming cabinet. Subroutine Trace 8",nbn,asset,,,,,,,,
"The card named The Office is a 1 cost asset with the subtypes command. It has an influence requirement of 3. The card text says This asset must have a maximum value of 4. When the Runner is tagged for a card on headquarters, it gains a",nbn,asset,,,,,,,,
"The card named R.B.A.L. is a 0 cost asset with the subtypes . It has an influence requirement of 0. The card text says Whenever you use this asset, draw 1 card using the Runner",nbn,asset,,,,,,,,
